date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:00	20127/20127	------	200	untouched ('')	application/vnd.ms-fontobject	etag:%224e9f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.eot	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:22:00	20127/20127	------	200	untouched ('')	application/vnd.ms-fontobject	etag:%224e9f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.eot?	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:22:00	18028/18028	------	200	untouched ('OK')	text/html	etag:%22466c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.woff2	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.html	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:22:00	23424/23424	------	200	untouched ('')	application/font-woff	etag:%225b80-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.woff	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.woff	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:22:00	45404/45404	------	200	untouched ('')	application/font-sfnt	etag:%22b15c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.ttf	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:22:00	108738/108738	------	200	untouched ('OK')	image/svg+xml	etag:%221a8c2-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.svg	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.svg	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:22:00	224628/224628	------	200	untouched ('')	application/vnd.ms-fontobject	etag:%2236d74-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.eot?srf3rx	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:22:00	224464/224464	------	200	untouched ('')	application/font-sfnt	etag:%2236cd0-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.ttf?srf3rx	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.ttf	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:22:00	224540/224540	------	200	untouched ('')	application/font-woff	etag:%2236d1c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.woff?srf3rx	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.woff	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:22:01	788508/788508	------	200	untouched ('OK')	image/svg+xml	etag:%22c081c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.svg?srf3rx	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.svg	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:22:01	1588/1588	------	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2012:10:28%20GMT	http://www.iisermohali.ac.in/web/foundation-day/images/hourglass.svg	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/images/hourglass.html	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:22:01	1588/1588	------	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2012:10:28%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap.html	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	35134/35134	------	200	untouched ('OK')	text/css	etag:%22893e-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/font-awesome.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/font-awesome.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	41067/41067	------	200	untouched ('OK')	text/css	etag:%22a06b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/style.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/style.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	71553/71553	------	200	untouched ('OK')	text/css	etag:%2211781-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/animate.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/animate.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	51227/51227	------	200	untouched ('OK')	text/css	etag:%22c81b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/icomoon.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/icomoon.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	149256/149256	------	200	untouched ('OK')	text/css	etag:%2224708-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap2.0.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	2592/2592	------	200	untouched ('OK')	text/css	etag:%22a20-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/superfish2.0.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/superfish2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:22:01	22067/22067	------	200	untouched ('OK')	text/css	etag:%225633-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/style2.0.css	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/events/style2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
